Time,Current to/from Batteries (mA),Current to Satellite (mA),Current from Solar Panel (mA),Battery Voltage (TB),Satellite Voltage,Solar Panel Voltage,Power to/from Batteries (mW),Power consumbed by Sattelite (mW),Power from Solar Panel (mW),Current Mission Mode,ACS Mode,ACS On/Off,Battery Voltage (Onboard),IMU On/Off,Optical Sensor On/Off,Solar Current (Onboard),RockBLOCK Sleeping/Awake,RockBLOCK Mode
1711463778238,64.71,41.3,107.59,4.11,4.27,4.51,267.2,177,484.4,Boot,DETUMBLE,OFF,4.11,powered,UNpowered,0,sleeping,0
1711463781316,66.55,40.13,107.64,4.11,4.27,4.51,270.8,171.8,484.4,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463784382,66.81,39.65,107.62,4.11,4.27,4.51,275.4,170.8,484,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463787457,67.39,39.38,107.6,4.11,4.27,4.51,273.4,166.6,484.4,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463790525,68.51,37.87,107.52,4.11,4.27,4.51,278.4,164.6,484.8,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463793598,68.62,37,107.64,4.11,4.28,4.51,280.4,159.6,484.8,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463796670,68.64,37.51,107.68,4.11,4.28,4.51,281,160.8,484,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463799746,69.36,37.86,107.58,4.11,4.28,4.51,283.4,157.8,484.4,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463802815,69.7,37.22,107.53,4.11,4.27,4.51,288.4,155.2,484.4,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463805892,69.78,36.45,107.59,4.11,4.28,4.51,284,160.8,484,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
