Time,Current to/from Batteries (mA),Current to Satellite (mA),Current from Solar Panel (mA),Battery Voltage (TB),Satellite Voltage,Solar Panel Voltage,Power to/from Batteries (mW),Power consumbed by Sattelite (mW),Power from Solar Panel (mW),Current Mission Mode,ACS Mode,ACS On/Off,Battery Voltage (Onboard),IMU On/Off,Optical Sensor On/Off,Solar Current (Onboard),RockBLOCK Sleeping/Awake,RockBLOCK Mode
1710880768637,-61.44,61.62,-0.70,4.00,3.97,1.82,249.20,245.00,0.40,Boot,DETUMBLE,OFF,4.01,powered,UNpowered,0,sleeping,0
1710880771661,-61.05,60.54,-0.75,4.00,3.97,1.83,241.80,238.80,1.20,Boot,DETUMBLE,OFF,4.01,powered,UNpowered,0,sleeping,0
1710880774692,-60.32,60.09,-0.83,4.00,3.97,1.83,240.20,239.20,2.40,Boot,DETUMBLE,OFF,4.01,powered,UNpowered,0,sleeping,0
1710880777707,-58.52,58.31,-0.72,4.00,3.97,1.80,235.60,235.00,0.40,Boot,DETUMBLE,OFF,4.01,powered,UNpowered,0,sleeping,0
1710880780738,-56.67,57.86,-0.72,4.00,3.97,1.84,228.60,225.80,2.00,Boot,DETUMBLE,OFF,4.01,powered,UNpowered,0,sleeping,0
1710880783754,-55.92,56.08,-0.79,4.00,3.97,1.97,221.40,222.40,2.00,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880786785,-55.36,55.45,-0.83,4.00,3.97,2.00,220.80,220.60,2.00,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880789816,-54.47,54.23,-0.81,4.01,3.98,2.00,218.40,218.00,0.80,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880792831,-52.77,52.87,-0.82,4.00,3.98,2.00,214.40,209.00,2.00,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880795862,-52.53,52.33,-0.78,4.00,3.98,2.01,208.80,204.80,2.00,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880798878,-52.00,52.07,-0.72,4.01,3.98,2.07,210.00,206.20,2.80,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880801909,-51.18,51.06,-0.76,4.01,3.98,2.07,206.40,204.00,1.20,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880804924,-50.02,50.31,-0.85,4.01,3.98,1.96,195.80,200.40,1.20,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880807955,-49.51,49.28,-0.85,4.01,3.98,2.00,198.80,196.40,1.20,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880810981,-49.24,49.07,-0.91,4.01,3.98,1.95,199.00,198.20,1.20,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880814005,-48.45,49.03,-0.91,4.01,3.98,1.92,195.20,193.00,2.00,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880817018,-46.90,46.70,-0.83,4.01,3.98,1.92,190.00,189.20,0.40,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880820049,-47.20,46.98,-0.84,4.01,3.98,1.94,187.40,184.40,2.40,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880823078,-47.34,47.19,-0.82,4.01,3.98,1.93,188.00,187.20,2.80,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880826103,-46.99,46.97,-0.83,4.01,3.98,1.98,186.60,184.60,0.40,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880829124,-45.91,45.76,-0.64,4.01,3.99,1.78,181.40,179.40,0.00,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880832138,-45.34,44.99,-0.75,4.01,3.99,1.82,182.00,180.40,1.20,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880835173,-45.31,45.46,-0.79,4.01,3.99,1.86,181.80,181.40,0.40,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880838196,-45.11,45.20,-0.79,4.01,3.99,2.02,178.80,178.80,2.40,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880841209,-44.24,44.08,-0.79,4.01,3.99,2.07,175.60,174.20,1.60,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880844243,-43.91,43.50,-0.71,4.01,3.99,2.07,176.60,174.60,3.60,Boot,DETUMBLE,OFF,4.02,powered,UNpowered,0,sleeping,0
1710880847270,-43.63,43.91,-0.77,4.01,3.99,2.07,177.00,174.60,2.40,Boot,DETUMBLE,OFF,4.03,powered,UNpowered,0,sleeping,0
