Time,Current to/from Batteries (mA),Current to Satellite (mA),Current from Solar Panel (mA),Battery Voltage (TB),Satellite Voltage,Solar Panel Voltage,Power to/from Batteries (mW),Power consumbed by Sattelite (mW),Power from Solar Panel (mW),Current Mission Mode,ACS Mode,ACS On/Off,Battery Voltage (Onboard),IMU On/Off,Optical Sensor On/Off,Solar Current (Onboard),RockBLOCK Sleeping/Awake,RockBLOCK Mode
1711463765957,58.92,47.32,107.58,4.11,4.27,4.51,243.40,203.00,484.40,Boot,DETUMBLE,OFF,0,powered,UNpowered,0,sleeping,0
1711463769022,60.50,45.31,107.60,4.11,4.27,4.51,247.40,196.60,484.40,Boot,DETUMBLE,OFF,0,powered,UNpowered,0,sleeping,0
1711463772099,63.42,43.27,107.55,4.11,4.27,4.51,261.40,185.60,484.40,Boot,DETUMBLE,OFF,0,powered,UNpowered,0,sleeping,0
1711463775169,63.63,42.85,107.60,4.11,4.27,4.51,263.80,181.60,484.00,Boot,DETUMBLE,OFF,0,powered,UNpowered,0,sleeping,0
1711463778238,64.71,41.30,107.59,4.11,4.27,4.51,267.20,177.00,484.40,Boot,DETUMBLE,OFF,4.11,powered,UNpowered,0,sleeping,0
1711463781316,66.55,40.13,107.64,4.11,4.27,4.51,270.80,171.80,484.40,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463784382,66.81,39.65,107.62,4.11,4.27,4.51,275.40,170.80,484.00,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463787457,67.39,39.38,107.60,4.11,4.27,4.51,273.40,166.60,484.40,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463790525,68.51,37.87,107.52,4.11,4.27,4.51,278.40,164.60,484.80,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463793598,68.62,37.00,107.64,4.11,4.28,4.51,280.40,159.60,484.80,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463796670,68.64,37.51,107.68,4.11,4.28,4.51,281.00,160.80,484.00,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463799746,69.36,37.86,107.58,4.11,4.28,4.51,283.40,157.80,484.40,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463802815,69.70,37.22,107.53,4.11,4.27,4.51,288.40,155.20,484.40,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463805892,69.78,36.45,107.59,4.11,4.28,4.51,284.00,160.80,484.00,Boot,DETUMBLE,OFF,4.12,powered,UNpowered,0,sleeping,0
1711463808964,69.29,35.84,107.64,4.11,4.28,4.51,287.00,155.00,485.60,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463812034,71.02,35.85,107.56,4.11,4.28,4.51,287.60,154.80,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463815102,70.20,36.07,107.68,4.11,4.28,4.51,291.40,150.60,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463818172,70.71,35.30,107.52,4.11,4.28,4.51,288.80,155.20,485.60,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463821252,70.54,35.71,107.62,4.11,4.28,4.51,289.80,153.00,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463824325,71.45,35.33,107.69,4.11,4.28,4.51,292.40,147.80,485.20,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463827396,71.97,35.35,107.55,4.12,4.28,4.51,292.20,150.80,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463830467,70.95,35.83,107.51,4.11,4.28,4.51,291.00,151.00,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463833534,71.72,35.00,107.75,4.11,4.28,4.51,294.00,148.20,485.60,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463836612,71.89,34.32,107.63,4.11,4.28,4.51,292.80,151.00,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463839678,71.12,35.08,107.61,4.11,4.28,4.51,293.00,148.40,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463842749,71.18,35.70,107.64,4.11,4.28,4.51,293.40,150.20,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463845825,72.08,34.02,107.58,4.12,4.28,4.51,297.40,146.60,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463848901,71.81,34.62,107.53,4.11,4.28,4.51,296.60,146.60,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463851966,70.97,34.97,107.51,4.12,4.28,4.51,293.80,152.60,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463855045,71.09,34.81,107.57,4.12,4.28,4.51,292.80,146.00,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463858115,72.44,33.69,107.60,4.11,4.28,4.51,295.00,147.80,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463861189,72.63,33.92,107.55,4.11,4.28,4.51,294.00,146.60,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463864253,71.55,34.70,107.61,4.12,4.28,4.51,297.40,150.20,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463867325,71.70,34.65,107.53,4.12,4.28,4.51,296.20,145.80,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463870404,71.99,34.09,107.57,4.12,4.28,4.51,296.40,145.00,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463873474,72.46,33.45,107.71,4.12,4.28,4.51,296.40,148.20,486.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463876541,71.65,34.12,107.62,4.12,4.28,4.51,294.60,145.80,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463879618,71.66,34.74,107.65,4.12,4.28,4.51,296.80,147.00,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463882685,72.21,34.06,107.67,4.12,4.28,4.51,300.40,142.60,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463885761,72.47,34.18,107.60,4.12,4.28,4.51,297.40,145.80,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463888829,72.13,34.33,107.61,4.12,4.28,4.51,296.20,146.60,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463891906,72.54,33.90,107.62,4.12,4.28,4.51,297.80,145.60,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463894973,73.14,33.65,107.58,4.12,4.28,4.51,300.60,143.00,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,0,sleeping,0
1711463898045,72.49,33.48,107.57,4.12,4.28,4.51,297.80,148.00,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463901124,71.89,33.97,107.63,4.11,4.28,4.51,296.00,145.60,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.72,sleeping,0
1711463904189,72.23,34.00,107.59,4.12,4.28,4.51,297.00,145.00,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.74,sleeping,0
1711463907262,71.94,33.69,107.47,4.12,4.28,4.51,300.80,143.80,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.78,sleeping,0
1711463910335,72.70,33.72,107.61,4.12,4.28,4.51,298.60,144.00,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.76,sleeping,0
1711463913406,71.93,34.52,107.61,4.12,4.28,4.51,297.80,147.40,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463916477,72.41,33.73,107.60,4.12,4.28,4.51,296.80,146.60,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463919556,72.32,33.18,107.64,4.12,4.28,4.52,297.00,142.20,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.75,sleeping,0
1711463922628,72.92,33.99,107.56,4.12,4.28,4.51,300.80,143.20,485.20,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.74,sleeping,0
1711463925701,71.39,34.08,107.63,4.12,4.28,4.51,294.00,147.40,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.73,sleeping,0
1711463928771,71.84,34.12,107.63,4.12,4.28,4.51,296.00,145.00,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.72,sleeping,0
1711463931841,72.75,33.69,107.67,4.12,4.28,4.51,300.80,143.40,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463934913,73.02,33.87,107.70,4.12,4.28,4.51,301.40,139.80,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463937986,72.36,33.95,107.62,4.12,4.28,4.51,295.80,145.00,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.69,sleeping,0
1711463941057,72.71,34.15,107.66,4.12,4.28,4.51,297.80,145.80,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.73,sleeping,0
1711463944127,72.78,33.83,107.69,4.12,4.28,4.51,300.60,144.00,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.72,sleeping,0
1711463947200,73.09,33.23,107.66,4.12,4.28,4.51,299.60,143.60,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.73,sleeping,0
1711463950276,72.96,33.12,107.61,4.12,4.28,4.51,298.80,142.60,485.20,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463953347,72.11,33.73,107.64,4.12,4.28,4.51,297.40,142.20,485.60,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.68,sleeping,0
1711463956413,72.36,33.36,107.59,4.12,4.28,4.51,296.40,148.00,485.60,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.70,sleeping,0
1711463959488,73.04,33.47,107.57,4.12,4.28,4.51,300.20,141.00,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.72,sleeping,0
1711463962561,72.13,33.02,107.61,4.12,4.28,4.51,302.40,143.20,485.20,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463965629,72.30,33.75,107.46,4.12,4.28,4.51,298.20,145.00,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.68,sleeping,0
1711463968703,72.71,33.85,107.62,4.12,4.28,4.51,297.20,144.80,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.64,sleeping,0
1711463971774,72.83,33.83,107.69,4.12,4.28,4.51,298.20,143.20,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463974849,73.15,33.08,107.55,4.12,4.28,4.51,302.40,141.60,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463977917,73.16,32.90,107.63,4.12,4.28,4.51,302.80,143.20,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463980993,72.57,33.77,107.68,4.12,4.28,4.51,296.20,144.00,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.72,sleeping,0
1711463984067,72.95,33.74,107.70,4.12,4.28,4.51,297.60,145.00,485.20,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.74,sleeping,0
1711463987140,72.82,33.18,107.61,4.12,4.28,4.51,298.60,143.20,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.71,sleeping,0
1711463990204,73.20,33.54,107.57,4.12,4.28,4.51,302.20,138.80,485.20,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.79,sleeping,0
1711463993278,72.54,33.90,107.64,4.12,4.28,4.51,298.40,146.80,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.78,sleeping,0
1711463996349,72.51,34.29,107.77,4.12,4.28,4.51,296.40,144.00,484.80,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.78,sleeping,0
1711463999428,72.99,33.28,107.69,4.12,4.28,4.51,300.40,141.60,485.20,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.77,sleeping,0
1711464002497,72.98,33.35,107.60,4.12,4.28,4.51,303.00,143.60,484.40,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.74,sleeping,0
1711464005568,72.08,33.45,107.63,4.12,4.28,4.51,297.60,142.60,484.00,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.69,sleeping,0
1711464008642,72.59,33.78,107.63,4.12,4.28,4.51,299.40,146.00,485.20,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.73,sleeping,0
1711464011716,72.81,33.63,107.62,4.12,4.28,4.51,299.00,140.60,485.20,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.75,sleeping,0
1711464014781,73.40,33.37,107.54,4.12,4.28,4.51,301.80,142.20,485.60,Boot,DETUMBLE,OFF,4.13,powered,UNpowered,114.72,sleeping,0
