Time,Current to/from Batteries (mA),Current to Satellite (mA),Current from Solar Panel (mA),Battery Voltage (TB),Satellite Voltage,Solar Panel Voltage,Power to/from Batteries (mW),Power consumbed by Sattelite (mW),Power from Solar Panel (mW),Current Mission Mode,ACS Mode,ACS On/Off,Battery Voltage (Onboard),IMU On/Off,Optical Sensor On/Off,Solar Current (Onboard),RockBLOCK Sleeping/Awake,RockBLOCK Mode
1710182719351,-50.78,50.73,-0.69,4.04,4.03,2.92,203.40,208.80,3.60,Boot,DETUMBLE,OFF,4.06,powered,UNpowered,0,sleeping,0
1710182722364,-49.70,48.99,-0.61,4.04,4.03,2.92,202.80,202.40,3.20,Boot,DETUMBLE,OFF,4.06,powered,UNpowered,0,sleeping,0
1710182725368,-47.96,47.53,-0.78,4.04,4.03,2.91,191.00,192.40,3.60,Boot,DETUMBLE,OFF,4.06,powered,UNpowered,0,sleeping,0
1710182728366,-47.31,47.69,-0.69,4.04,4.03,2.91,189.20,193.00,3.60,Boot,DETUMBLE,OFF,4.06,powered,UNpowered,0,sleeping,0
1710182731366,-46.46,46.67,-0.71,4.04,4.03,2.92,187.20,185.80,3.60,Boot,DETUMBLE,OFF,4.06,powered,UNpowered,0,sleeping,0
1710182734366,-45.95,46.05,-0.67,4.04,4.03,2.91,184.60,184.60,3.20,Boot,DETUMBLE,OFF,4.07,powered,UNpowered,0,sleeping,0
1710182737366,-45.35,45.61,-0.64,4.04,4.03,2.91,185.60,185.20,4.00,Boot,DETUMBLE,OFF,4.07,powered,UNpowered,0,sleeping,0
1710182740382,-44.57,45.08,-0.65,4.04,4.03,2.92,182.00,182.20,3.60,Boot,DETUMBLE,OFF,4.07,powered,UNpowered,0,sleeping,0
1710182743381,-44.50,44.53,-0.68,4.04,4.03,2.91,181.60,181.00,4.00,Boot,DETUMBLE,OFF,4.07,powered,UNpowered,0,sleeping,0
1710182746385,-43.56,44.58,-0.65,4.04,4.03,2.91,179.00,177.00,3.20,Boot,DETUMBLE,OFF,4.07,powered,UNpowered,0,sleeping,0
1710182749385,-44.86,44.54,-0.62,4.04,4.03,2.90,178.60,178.80,3.20,Boot,DETUMBLE,OFF,4.07,powered,UNpowered,0,sleeping,0
