Time,Current to/from Batteries (mA),Current to Satellite (mA),Current from Solar Panel (mA),Battery Voltage (TB),Satellite Voltage,Solar Panel Voltage,Power to/from Batteries (mW),Power consumbed by Sattelite (mW),Power from Solar Panel (mW),Current Mission Mode,ACS Mode,ACS On/Off,Battery Voltage (Onboard),IMU On/Off,Optical Sensor On/Off,Solar Current (Onboard),RockBLOCK Sleeping/Awake,RockBLOCK Mode
1709691225240,-7.51,290.79,-0.70,3.65,4.24,4.66,27.20,1232.40,4.00,Detumble Spin,DETUMBLE,ON,3.92,powered,UNpowered,25.18,sleeping,0
1709691228322,-7.56,292.30,-0.73,3.65,4.24,4.67,27.60,1237.20,4.00,Detumble Spin,DETUMBLE,ON,3.89,powered,UNpowered,25.17,sleeping,0
1709691231394,-7.46,291.47,-0.77,3.65,4.24,4.66,26.40,1236.80,4.00,Detumble Spin,DETUMBLE,ON,3.88,powered,UNpowered,25.16,sleeping,0
1709691234466,-7.50,289.89,-0.63,3.65,4.24,4.67,26.80,1231.80,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.17,sleeping,0
1709691237528,218.17,289.11,-0.79,3.80,4.21,4.60,763.20,1222.20,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.14,sleeping,0
1709691240610,-7.55,205.96,-0.79,3.66,4.29,4.72,28.00,856.60,4.00,Detumble Spin,DETUMBLE,ON,3.86,powered,UNpowered,25.11,sleeping,0
1709691243682,-7.52,290.62,-0.79,3.65,4.24,4.67,26.00,1235.80,4.00,Detumble Spin,DETUMBLE,ON,3.86,powered,UNpowered,25.10,sleeping,0
1709691246752,-7.50,291.32,-0.70,3.65,4.24,4.67,27.20,1235.80,4.20,Detumble Spin,DETUMBLE,ON,3.86,powered,UNpowered,25.08,sleeping,0
1709691249826,-7.58,291.95,-0.77,3.65,4.24,4.66,26.80,1240.20,4.00,Detumble Spin,DETUMBLE,ON,3.86,powered,UNpowered,25.10,sleeping,0
1709691252894,259.89,288.39,-0.65,3.85,4.20,4.57,1049.00,1212.80,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.09,sleeping,0
1709691255960,-7.49,289.95,-0.72,3.65,4.24,4.67,26.40,1233.60,4.20,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.09,sleeping,0
1709691259042,39.59,291.07,-0.72,3.69,4.24,4.65,208.00,1235.60,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.11,sleeping,0
1709691262114,118.23,289.11,-0.67,3.74,4.23,4.62,508.20,1221.60,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.08,sleeping,0
1709691265184,-7.53,290.96,-0.68,3.65,4.24,4.66,27.20,1235.00,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.08,sleeping,0
1709691268253,-7.56,292.18,-0.80,3.65,4.24,4.66,26.40,1240.20,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.09,sleeping,0
1709691271330,149.53,289.30,-0.75,3.79,4.21,4.60,762.80,1214.00,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.05,sleeping,0
1709691274391,103.45,289.51,-0.79,3.73,4.23,4.62,447.40,1226.80,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.07,sleeping,0
1709691277473,-7.53,291.72,-0.67,3.65,4.24,4.67,26.40,1234.00,4.00,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.06,sleeping,0
1709691280539,-7.48,289.51,-0.78,3.65,4.24,4.67,26.40,1227.20,4.20,Detumble Spin,DETUMBLE,ON,3.87,powered,UNpowered,25.05,sleeping,0
1709691283618,196.67,289.80,-0.66,3.81,4.20,4.58,946.40,1216.80,4.00,Detumble Spin,DETUMBLE,ON,3.86,powered,UNpowered,25.06,sleeping,0
